-6.4,1,2.72E-05
-6.3,1,2.72E-05
-6.2,0,0
-6.1,0,0
-6,1,2.72E-05
-5.9,0,0
-5.8,0,0
-5.7,0,0
-5.6,0,0
-5.5,1,2.72E-05
-5.4,0,0
-5.3,2,5.43E-05
-5.2,0,0
-5.1,0,0
-5,1,2.72E-05
-4.9,0,0
-4.8,0,0
-4.7,1,2.72E-05
-4.6,0,0
-4.5,3,8.15E-05
-4.4,2,5.43E-05
-4.3,3,8.15E-05
-4.2,2,5.43E-05
-4.1,6,0.000162942
-4,2,5.43E-05
-3.9,10,0.000271569
-3.8,13,0.00035304
-3.7,6,0.000162942
-3.6,16,0.000434511
-3.5,11,0.000298726
-3.4,19,0.000515982
-3.3,21,0.000570296
-3.2,27,0.000733237
-3.1,43,0.001167748
-3,43,0.001167748
-2.9,53,0.001439318
-2.8,87,0.002362654
-2.7,91,0.002471282
-2.6,107,0.002905793
-2.5,123,0.003340304
-2.4,157,0.00426364
-2.3,130,0.003530402
-2.2,201,0.005458545
-2.1,206,0.00559433
-2,269,0.007305217
-1.9,276,0.007495315
-1.8,390,0.010591207
-1.7,389,0.01056405
-1.6,379,0.01029248
-1.5,475,0.012899546
-1.4,594,0.016131222
-1.3,577,0.015669554
-1.2,585,0.01588681
-1.1,708,0.019227113
-1,775,0.021046628
-0.9,678,0.018412405
-0.8,778,0.021128099
-0.7,699,0.018982701
-0.6,831,0.022567417
-0.5,962,0.026124976
-0.4,977,0.02653233
-0.3,846,0.022974771
-0.2,1093,0.029682535
-0.1,1302,0.035358336
0,1256,0.034109117
0.1,1300,0.035304022
0.2,1229,0.033375879
0.3,1480,0.040192271
0.4,1792,0.048665236
0.5,1727,0.046900035
0.6,1989,0.054015154
0.7,1969,0.053472015
0.8,1938,0.05263015
0.9,1763,0.047877685
1,1548,0.042038943
1.1,1099,0.029845477
1.2,841,0.022838987
1.3,620,0.016837303
1.4,434,0.011786112
1.5,299,0.008119925
1.6,153,0.004155012
1.7,145,0.003937756
1.8,99,0.002688537
1.9,64,0.001738044
2,38,0.001031964
2.1,11,0.000298726
2.2,17,0.000461668
2.3,7,0.000190099
2.4,11,0.000298726
2.5,7,0.000190099
2.6,7,0.000190099
2.7,1,2.72E-05
2.8,2,5.43E-05
2.9,2,5.43E-05
3,0,0
3.1,0,0
3.2,1,2.72E-05
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,1,2.72E-05
